Publisher_ID,Name,Address,Phone,Email
19,Zondervan,"6523 Loomis Lane, Tucson, Arizona, United States, 85743",+1 558 064 0023,shanna.mapholm@hotmail.com
20,Scholastic,"13911 Indigo Avenue, Birmingham, Alabama, United States, 35205",+1 289 085 0034,yettie.tollemache@yahoo.com
21,MIT Press,"759 Aurea Place, Mobile, Alabama, United States, 36689",+1 785 088 0004,anett.tudball@gmail.com
22,Wiley,"79 Sugar Cane Court, Houston, Texas, United States, 77045",+1 104 095 0029,clayton.fewkes@yahoo.co.uk
23,University of Chicago Press,"292 Kim Lane, Pittsburgh, Pennsylvania, United States, 15255",+1 191 003 0091,domeniga.maccathay@hotmail.com
24,Simon & Schuster,"13076 Bugle Terrace, Phoenix, Arizona, United States, 85040",+1 896 062 0060,mallory.yockley@hotmail.es
25,University of Chicago Press,"11447 Chesapeake Place, Orlando, Florida, United States, 32830",+1 771 041 0033,natty.edinburough@gmail.com
26,Bloomsbury Publishing,"585 Morley Avenue, Wichita, Kansas, United States, 67260",+1 167 034 0000,tally.jakeman@ntlworld.com
27,Wiley,"4273 Fayette Court, Southfield, Michigan, United States, 48076",+1 632 084 0036,ariela.bissell@yahoo.com
28,SAGE Publications,"6376 Melissa Lane, Greensboro, North Carolina, United States, 27499",+1 034 030 0090,emanuel.marsy@gmail.com
29,Hachette Livre,"7570 Clifford Court, Spring, Texas, United States, 77388",+1 976 035 0072,stanly.satchel@yahoo.fr
30,Cambridge University Press,"8581 Hazelwood Loop, Newark, New Jersey, United States, 07104",+1 674 066 0064,elton.southcombe@yahoo.com
31,Penguin Random House,"13629 Gale Lane, Seattle, Washington, United States, 98109",+1 092 045 0053,korie.mulrooney@yahoo.com
32,Springer Nature,"8935 Arbor Trail, Colorado Springs, Colorado, United States, 80940",+1 872 093 0024,earvin.miller@free.fr
33,SAGE Publications,"3666 Lake Miona Drive, Toledo, Ohio, United States, 43610",+1 938 049 0020,adiana.wager@live.com
34,HarperCollins,"14449 Vision Court, Wilmington, North Carolina, United States, 28410",+1 012 005 0047,drew.bilby@hotmail.com
35,SAGE Publications,"2541 Ely Circle, Washington, District of Columbia, United States, 20099",+1 623 017 0079,sergei.burgan@yahoo.com
36,MIT Press,"10646 Landon Avenue, Glendale, California, United States, 91205",+1 955 018 0066,sauveur.fairholm@yahoo.com
37,MIT Press,"8673 Denison Place, Sacramento, California, United States, 94263",+1 174 073 0072,lucian.goose@libero.it
38,Bloomsbury Publishing,"3094 Rainbow Blvd., Indianapolis, Indiana, United States, 46216",+1 746 005 0058,vincenz.burbidge@gmx.de
39,Bloomsbury Publishing,"7579 Isabelle Place, Greensboro, North Carolina, United States, 27409",+1 252 041 0074,ophelie.broxis@yahoo.com
40,Cambridge University Press,"1079 Ellerbe Avenue, Washington, District of Columbia, United States, 20436",+1 401 072 0014,edwin.hosby@yahoo.com
41,Springer Nature,"1701 Nectar Road, Carol Stream, Illinois, United States, 60351",+1 220 092 0008,nicholas.broadley@gmail.com
42,Zondervan,"6033 Justice Lane, Minneapolis, Minnesota, United States, 55407",+1 768 079 0021,bartholomew.hrynczyk@aol.com
43,Macmillan Publishers,"8550 Fenwick Loop, San Diego, California, United States, 92160",+1 383 083 0075,charlton.trussman@gmail.com
44,HarperCollins,"3294 Wilder Path, West Palm Beach, Florida, United States, 33411",+1 007 004 0056,israel.siveyer@yahoo.com
45,Zondervan,"5507 Pineland Terrace, Louisville, Kentucky, United States, 40287",+1 928 025 0036,darci.swaysland@yahoo.com
46,Simon & Schuster,"14015 Karen Perkins Street, Salt Lake City, Utah, United States, 84170",+1 482 004 0060,lilla.gillio@ig.com.br
47,Macmillan Publishers,"7651 Arredondo Drive, Sarasota, Florida, United States, 34276",+1 697 052 0098,cleon.kibbe@yahoo.com
48,Wiley,"1930 Sanwald Street, Winter Haven, Florida, United States, 33884",+1 110 018 0006,abigail.pendle@gmail.com
49,Zondervan,"4710 Watts Mill Way, Miami, Florida, United States, 33233",+1 234 068 0055,israel.gibbe@yahoo.com
50,Hachette Livre,"6558 Falling Tree Court, Washington, District of Columbia, United States, 20540",+1 412 062 0025,tamas.gaze@hotmail.fr
51,Wiley,"13826 Angel Avenue, San Antonio, Texas, United States, 78250",+1 899 049 0093,karla.draysey@yahoo.com
52,University of Chicago Press,"4531 Causey Court, Los Angeles, California, United States, 90015",+1 162 075 0004,ripley.hansell@yahoo.com
53,Tyndale House,"4733 Trappers Court, Sacramento, California, United States, 95818",+1 737 001 0099,garrik.stevings@voila.fr
54,Tyndale House,"4124 Amberjack Terrace, Sioux Falls, South Dakota, United States, 57110",+1 268 035 0087,napoleon.merida@yahoo.com
55,MIT Press,"3372 Palo Alto Avenue, Saint Petersburg, Florida, United States, 33715",+1 281 064 0022,ringo.smetoun@hotmail.com
56,Springer Nature,"13566 Vaughn Way, Fresno, California, United States, 93709",+1 448 015 0030,veronika.buchan@yahoo.com
57,Tyndale House,"1230 Blue Heron Avenue, Fresno, California, United States, 93721",+1 036 068 0003,sapphira.goldsbrough@hotmail.fr
58,Tyndale House,"1758 Dentsville Lane, Peoria, Illinois, United States, 61629",+1 806 028 0070,lief.kirkby@gmail.com
59,Oxford University Press,"11756 Buster Place, Austin, Texas, United States, 78737",+1 378 034 0072,tadeo.epple@gmail.com
60,Tyndale House,"4488 Dagenais Way, Portland, Oregon, United States, 97296",+1 497 014 0083,addie.bachnic@hotmail.com
61,University of Chicago Press,"956 Carmalt Lane, Tampa, Florida, United States, 33620",+1 152 058 0065,barclay.bettington@gmail.com
62,Macmillan Publishers,"970 Rowan Way, Chesapeake, Virginia, United States, 23324",+1 013 015 0088,sharla.cudd@gmail.com
63,Oxford University Press,"5735 Valverda Drive, Brooklyn, New York, United States, 11241",+1 719 079 0087,cal.pashba@hotmail.com
64,MIT Press,"12252 Kelmscott Street, Austin, Texas, United States, 78754",+1 319 003 0073,grannie.macgill@gmail.com
65,Macmillan Publishers,"11055 Dorchester Avenue, Orlando, Florida, United States, 32813",+1 059 071 0030,dona.burtwhistle@yahoo.com
66,Hachette Livre,"4617 Pompion Street, Tucson, Arizona, United States, 85737",+1 837 033 0031,amory.robertet@terra.com.br
67,John Wiley & Sons,"13962 Wellford Way, Tyler, Texas, United States, 75705",+1 889 065 0097,gwenora.ferrier@gmail.com
68,Routledge,"9525 Nobleton Lane, Raleigh, North Carolina, United States, 27626",+1 067 052 0099,ashley.fairbanks@hotmail.com
69,Springer Nature,"12271 Beechwood Avenue, Juneau, Alaska, United States, 99812",+1 985 040 0063,bethena.trenbay@gmail.com
70,Simon & Schuster,"4245 Springside Terrace, Columbus, Georgia, United States, 31904",+1 542 037 0079,felic.povall@live.com.au
71,Tyndale House,"748 Saranac Place, Birmingham, Alabama, United States, 35279",+1 604 020 0016,sharity.hof@gmail.com
72,Simon & Schuster,"13655 Grassmere Street, Pasadena, California, United States, 91125",+1 065 031 0053,kiley.gonzalez@gmail.com
73,Wiley,"633 Lafayette Street, Houston, Texas, United States, 77250",+1 041 093 0090,gilles.cudd@hotmail.com
74,Tyndale House,"8636 Alameda Avenue, Toledo, Ohio, United States, 43699",+1 046 071 0054,vachel.oliveti@gmail.com
75,Routledge,"57 York Terrace, Scottsdale, Arizona, United States, 85271",+1 458 086 0058,milty.greaterex@yahoo.com
76,University of Chicago Press,"5000 Shale Trail Loop, Pensacola, Florida, United States, 32595",+1 435 058 0066,carlos.bilney@gmail.com
77,University of Chicago Press,"158 Harrison Road, Washington, District of Columbia, United States, 20051",+1 434 057 0066,franchot.pollastrino@yahoo.co.in
78,Pearson,"1562 Elm Street, Olympia, Washington, United States, 98506",+1 815 032 0088,lucretia.gaitskill@bol.com.br
79,Oxford University Press,"13231 Abernethy Place, Philadelphia, Pennsylvania, United States, 19146",+1 354 026 0058,brnaby.gaineofengland@yahoo.com
80,Tyndale House,"10686 Conley Court, White Plains, New York, United States, 10606",+1 680 004 0039,audre.witchard@yahoo.com
81,Bloomsbury Publishing,"684 Elana Place, Atlanta, Georgia, United States, 30358",+1 521 041 0040,dana.trehearn@yahoo.com
82,Zondervan,"4399 Manchester Avenue, Saint Louis, Missouri, United States, 63136",+1 196 025 0073,lemuel.doole@yahoo.com
83,Scholastic,"3038 Orangedale Terrace, Columbus, Ohio, United States, 43215",+1 326 066 0054,liesa.nye@yahoo.com
84,SAGE Publications,"14428 Lennie Loop, Los Angeles, California, United States, 90055",+1 748 003 0078,tallie.maron@msn.com
85,MIT Press,"11311 Palownia Loop, Torrance, California, United States, 90505",+1 912 051 0098,teirtza.gration@gmail.com
86,Tyndale House,"10159 Viewmont Lane, Washington, District of Columbia, United States, 20420",+1 270 023 0046,malinda.hollyer@yahoo.com
87,Cambridge University Press,"4876 Lauren Lane, Indianapolis, Indiana, United States, 46216",+1 299 032 0025,roger.ausher@yahoo.com
88,Pearson,"8109 Darlington Drive, New Haven, Connecticut, United States, 06538",+1 962 067 0006,wilmar.piggens@hotmail.com
89,HarperCollins,"10471 Elizabeth Court, Chattanooga, Tennessee, United States, 37405",+1 190 041 0085,lotti.tunn@comcast.net
90,Oxford University Press,"1292 Cuthbert Circle, New York City, New York, United States, 10150",+1 263 042 0030,sonja.benaharon@yahoo.fr
91,University of Chicago Press,"2356 King Place, South Bend, Indiana, United States, 46634",+1 117 019 0092,kattie.cluely@hotmail.com
92,Zondervan,"3267 Gina Place, Atlanta, Georgia, United States, 30343",+1 405 088 0018,jordan.insworth@hotmail.com
93,Macmillan Publishers,"6034 Muirfield Place, Green Bay, Wisconsin, United States, 54313",+1 706 070 0078,burt.mattek@yahoo.com
94,MIT Press,"2896 Viola Court, Charlotte, North Carolina, United States, 28235",+1 796 053 0084,carr.craddock@hotmail.fr
95,Routledge,"11787 Rogers Road, Fort Lauderdale, Florida, United States, 33325",+1 981 068 0047,terencio.nutty@aol.com
96,Hachette Livre,"9890 Stepping Stone Path, Flushing, New York, United States, 11355",+1 990 079 0039,katine.kassidy@gmail.com
97,Zondervan,"6148 Wildwood Court, Charlotte, North Carolina, United States, 28215",+1 846 040 0039,ardis.wenden@gmail.com
98,Scholastic,"4864 Castlewood Lane, Lake Charles, Louisiana, United States, 70616",+1 935 012 0095,lanae.ashburne@yahoo.com
99,Zondervan,"14707 Holton Avenue, Raleigh, North Carolina, United States, 27605",+1 290 027 0090,eveline.kilfeather@yahoo.com
100,Scholastic,"8416 Allenwood Loop, Atlanta, Georgia, United States, 31196",+1 344 009 0024,carley.tumulty@hotmail.com
